произошедшие с 21 по 22 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Липецкая область;2.0;-50,0;0.0;-100,0;2.0;-60,0;стаб.
гор. Москва;24.0;4,3;0.0;-100,0;26.0;-7,1;стаб.
Московская область;10.0;-44,4;1.0;-80,0;13.0;-18,8;7,1
Орловская область;4.0;100,0;2.0;100,0;2.0;-60,0;50,0
Рязанская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Смоленская область;3.0;стаб.;0.0;-100,0;4.0;стаб.;стаб.
Тамбовская область;4.0;стаб.;0.0;-100,0;6.0;-14,3;стаб.
Тверская область;3.0;-50,0;0.0;-100,0;3.0;-50,0;стаб.
Тульская область;7.0;75,0;2.0;100,0;5.0;66,7;28,6
Ярославская область;3.0;стаб.;0.0;-100,0;4.0;стаб.;стаб.
Северо-Западный федеральный округ;27.0;3,8;3.0;100,0;36.0;16,1;7,7
Республика Карелия;1.0;стаб.;1.0;100,0;0.0;-100,0;стаб.
Республика Коми;1.0;стаб.;0.0;-100,0;6.0;500,0;стаб.
Архангельская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Вологодская область;1.0;-66,7;0.0;-100,0;2.0;-33,3;стаб.
Калининградская область;2.0;стаб.;0.0;-100,0;4.0;33,3;стаб.
Ленинградская область;7.0;133,3;1.0;100,0;10.0;66,7;9,1
гор. Санкт-Петербург;10.0;25,0;1.0;100,0;9.0;стаб.;10,0
Мурманская область;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Новгородская область;2.0;-33,3;0.0;-100,0;2.0;-33,3;стаб.
Псковская область;1.0;100,0;0.0;-100,0;1.0;100,0;стаб.
Ненецкий автономный округ;2.0;100,0;0.0;-100,0;2.0;100,0;стаб.
Южный федеральный округ;52.0;стаб.;17.0;70,0;58.0;-18,3;22,7
Республика Адыгея (Адыгея);0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Республика Калмыкия;2.0;100,0;1.0;стаб.;1.0;-50,0;50,0
Республика Крым;3.0;стаб.;0.0;-100,0;3.0;-25,0;стаб.
Краснодарский край;21.0;-8,7;9.0;200,0;19.0;-48,6;32,1
Астраханская область;3.0;200,0;0.0;-100,0;4.0;300,0;стаб.
Волгоградская область;7.0;-30,0;4.0;100,0;6.0;-50,0;40,0
Ростовская область;13.0;30,0;2.0;стаб.;19.0;72,7;9,5
гор. Севастополь;3.0;200,0;1.0;100,0;6.0;200,0;14,3
Северо-Кавказский федеральный округ;21.0;16,7;4.0;стаб.;26.0;18,2;13,3
