произошедшие с 15 по 16 часов, апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Белгородская область;5.0;400,0;0.0;-100,0;8.0;700,0;стаб.
Брянская область;3.0;50,0;1.0;100,0;2.0;-33,3;33,3
Владимирская область;11.0;57,1;1.0;100,0;28.0;211,1;3,4
Воронежская область;10.0;11,1;0.0;-100,0;15.0;25,0;стаб.
Ивановская область;6.0;-14,3;0.0;-100,0;7.0;стаб.;стаб.
Калужская область;6.0;20,0;0.0;-100,0;8.0;33,3;стаб.
Костромская область;10.0;150,0;0.0;-100,0;10.0;233,3;стаб.
Курская область;6.0;стаб.;1.0;100,0;7.0;-22,2;12,5
Липецкая область;11.0;120,0;0.0;-100,0;13.0;62,5;стаб.
гор. Москва;57.0;16,3;1.0;стаб.;61.0;22,0;1,6
Московская область;19.0;18,8;0.0;-100,0;23.0;21,1;стаб.
Орловская область;2.0;-33,3;0.0;-100,0;2.0;-60,0;стаб.
Рязанская область;9.0;80,0;2.0;100,0;13.0;160,0;13,3
Смоленская область;3.0;стаб.;1.0;100,0;5.0;-28,6;16,7
Тамбовская область;5.0;-44,4;0.0;-100,0;6.0;-45,5;стаб.
Тверская область;9.0;-10,0;0.0;-100,0;11.0;-8,3;стаб.
Тульская область;7.0;133,3;0.0;-100,0;10.0;233,3;стаб.
Ярославская область;13.0;85,7;0.0;-100,0;19.0;137,5;стаб.
Северо-Западный федеральный округ;66.0;22,2;2.0;-33,3;78.0;25,8;2,5
Республика Карелия;5.0;66,7;0.0;-100,0;6.0;100,0;стаб.
Республика Коми;3.0;200,0;0.0;-100,0;6.0;500,0;стаб.
Архангельская область;1.0;-66,7;0.0;-100,0;1.0;-66,7;стаб.
Вологодская область;11.0;37,5;0.0;-100,0;15.0;87,5;стаб.
Калининградская область;3.0;-40,0;0.0;-100,0;3.0;-50,0;стаб.
