со стажем управления от 20 до 25 лет (дейст. с 01.01.2022 г.), апрель 2024;;;;;;;; 
;ДТП;;Погибло;;Ранено;;Тяжесть последствий ;
;aбc;± % к АППГ;aбc;± % к АППГ;aбc;± % к АППГ;
1;2;3;4;5;6;7;8
Смоленская область;2.0;-50,0;1.0;стаб.;2.0;-33,3;33,3
Тамбовская область;10.0;66,7;2.0;стаб.;15.0;36,4;11,8
Тверская область;9.0;28,6;1.0;-50,0;13.0;62,5;7,1
Тульская область;8.0;14,3;0.0;-100,0;10.0;11,1;стаб.
Ярославская область;8.0;60,0;0.0;-100,0;9.0;28,6;стаб.
Северо-Западный федеральный округ;65.0;22,6;4.0;33,3;81.0;14,1;4,7
Республика Карелия;2.0;-33,3;0.0;-100,0;3.0;-57,1;стаб.
Республика Коми;3.0;-50,0;0.0;-100,0;3.0;-57,1;стаб.
Архангельская область;2.0;100,0;0.0;-100,0;2.0;-33,3;стаб.
Вологодская область;9.0;стаб.;0.0;-100,0;18.0;100,0;стаб.
Калининградская область;9.0;12,5;1.0;-50,0;9.0;50,0;10,0
Ленинградская область;14.0;133,3;2.0;100,0;16.0;100,0;11,1
гор. Санкт-Петербург;19.0;35,7;1.0;100,0;20.0;-4,8;4,8
Мурманская область;1.0;100,0;0.0;-100,0;3.0;100,0;стаб.
Новгородская область;5.0;стаб.;0.0;-100,0;6.0;стаб.;стаб.
Псковская область;1.0;стаб.;0.0;-100,0;1.0;-75,0;стаб.
Ненецкий автономный округ;0.0;-100,0;0.0;-100,0;0.0;-100,0;стаб.
Южный федеральный округ;108.0;21,3;18.0;28,6;119.0;3,5;13,1
Республика Адыгея (Адыгея);3.0;-40,0;0.0;-100,0;3.0;-40,0;стаб.
Республика Калмыкия;1.0;-75,0;0.0;-100,0;1.0;-66,7;стаб.
Республика Крым;4.0;-55,6;0.0;-100,0;4.0;-76,5;стаб.
Краснодарский край;38.0;стаб.;4.0;-50,0;40.0;-7,0;9,1
Астраханская область;4.0;стаб.;0.0;-100,0;6.0;-25,0;стаб.
Волгоградская область;26.0;85,7;2.0;100,0;37.0;94,7;5,1
Ростовская область;31.0;121,4;12.0;1100,0;27.0;42,1;30,8
гор. Севастополь;1.0;стаб.;0.0;-100,0;1.0;стаб.;стаб.
Северо-Кавказский федеральный округ;41.0;51,9;8.0;33,3;53.0;29,3;13,1
Республика Дагестан;10.0;11,1;3.0;стаб.;13.0;-31,6;18,8
Республика Ингушетия;1.0;-66,7;0.0;-100,0;1.0;-80,0;стаб.
Кабардино-Балкарская Республика;2.0;100,0;0.0;-100,0;3.0;100,0;стаб.
Карачаево-Черкесская Республика;3.0;50,0;2.0;100,0;2.0;стаб.;50,0
Республика Северная Осетия-Алания;5.0;400,0;0.0;-100,0;9.0;350,0;стаб.
Чеченская Республика;1.0;100,0;1.0;100,0;0.0;-100,0;стаб.
Ставропольский край;19.0;58,3;2.0;стаб.;25.0;92,3;7,4
Приволжский федеральный округ;136.0;0,7;17.0;54,5;167.0;-6,2;9,2
Республика Башкортостан;16.0;стаб.;3.0;200,0;20.0;5,3;13,0
Республика Марий Эл;2.0;-50,0;0.0;-100,0;2.0;-75,0;стаб.
Республика Мордовия;2.0;-71,4;0.0;-100,0;2.0;-83,3;стаб.
